date,open_price,high_price,low_price,close_price,monthly_change_(open_to_close)_%,range_%,closing_momentum,volatility_index,momentum_score
2016-07-29,1.11,1.1197,1.095,1.1175,0.6793,2.2594,0.9095,2.2139,0.3048
2016-08-31,1.1171,1.1366,1.1044,1.1161,-0.094,2.9183,0.3618,2.8878,-0.0326
2016-09-30,1.1161,1.1327,1.112,1.124,0.7141,1.8624,0.5809,1.8425,0.3848
2016-10-31,1.1235,1.1242,1.0848,1.0972,-2.3444,3.6283,0.3148,3.5873,-0.6692
2016-11-30,1.0972,1.13,1.0516,1.0596,-3.4268,7.4515,0.1023,7.3951,-0.4798
2016-12-30,1.0596,1.0874,1.035,1.0516,-0.7541,5.058,0.3171,4.9781,-0.1526
2017-01-31,1.0518,1.0812,1.0339,1.0795,2.6374,4.5738,0.9643,4.3806,0.5866
2017-02-28,1.0796,1.0829,1.0492,1.0573,-2.0647,3.2101,0.2399,3.1855,-0.6618
2017-03-31,1.0572,1.0906,1.0493,1.0663,0.856,3.9369,0.4115,3.8741,0.2191
2017-04-28,1.0671,1.0951,1.0568,1.0893,2.0804,3.6232,0.8493,3.515,0.5798
2017-05-31,1.0902,1.1268,1.0837,1.1239,3.0856,3.9799,0.9314,3.8376,0.78
2017-06-30,1.1239,1.1446,1.1117,1.1427,1.6755,2.9577,0.9434,2.8774,0.5727
2017-07-31,1.1425,1.1846,1.1311,1.1831,3.5518,4.7273,0.9725,4.5195,0.7589
2017-08-31,1.1831,1.207,1.1662,1.1913,0.6931,3.5037,0.6143,3.4299,0.2007
2017-09-29,1.1913,1.2092,1.1716,1.1813,-0.8378,3.2127,0.2577,3.1863,-0.2651
2017-10-31,1.1811,1.188,1.1572,1.165,-1.3649,2.6616,0.2516,2.6439,-0.5234
2017-11-30,1.1649,1.1961,1.1553,1.189,2.0611,3.5333,0.8244,3.4333,0.5882
2017-12-29,1.189,1.2026,1.1716,1.1994,0.8789,2.6417,0.8982,2.5805,0.3376
2018-01-31,1.2002,1.2538,1.1914,1.2412,3.4169,5.2359,0.7985,5.0257,0.6574
2018-02-28,1.2412,1.2556,1.2186,1.2192,-1.7716,3.033,0.0173,3.0314,-0.595
2018-03-30,1.2192,1.2476,1.2153,1.2323,1.0745,2.6619,0.5255,2.6252,0.4049
2018-04-30,1.2317,1.2414,1.2053,1.208,-1.9217,2.9926,0.0762,2.9858,-0.6562
2018-05-31,1.208,1.2084,1.1509,1.1705,-3.11,4.9978,0.3404,4.9142,-0.6532
2018-06-29,1.1705,1.1852,1.1507,1.1684,-0.1794,2.9964,0.5131,2.9511,-0.0609
